"ano";"quilometragem";"estado_conservacao";"preco"
2012;83770;"Bom";31590
2023;153442;"Excelente";35898
2020;116885;"Bom";40457
2009;22444;"Bom";43922
2019;82912;"Ruim";19802
2011;160486;"Excelente";21057
2006;144569;"Regular";24884
2014;94182;"Excelente";36637
2005;95512;"Regular";18398
2019;203593;"Bom";18871
2020;238292;"Bom";12859
2016;242207;"Excelente";12338
2013;94288;"Regular";23601
2005;108925;"Regular";21823
2019;85653;"Bom";32289
2009;27189;"Ruim";24971
2012;116207;"Ruim";22837
2011;42511;"Bom";38695
2020;109273;"Regular";24507
2020;131666;"Excelente";32127
2021;189591;"Bom";25261
2011;137131;"Bom";23013
2007;177369;"Bom";16382
2011;62190;"Bom";43882
2010;18997;"Excelente";48257
2006;240332;"Bom";10170
2011;67392;"Bom";31916
2007;124072;"Bom";22373
2010;86580;"Bom";34444
2009;138480;"Bom";23813
2009;207697;"Ruim";10931
2017;76471;"Excelente";42903
2005;125491;"Bom";21157
2023;112240;"Bom";40881
2016;174373;"Bom";20600
2012;48153;"Ruim";32027
2006;119845;"Regular";33807
2021;199312;"Bom";19613
2022;85900;"Bom";56591
2005;196928;"Excelente";13580
2013;187977;"Excelente";16500
2009;94133;"Regular";30798
2013;247595;"Bom";11177
2018;34249;"Bom";48938
2013;128187;"Excelente";30958
2013;105802;"Ruim";16707
2018;5082;"Bom";51178
2015;83759;"Excelente";38074
2021;46420;"Regular";34339
2016;184553;"Bom";15268
2019;105550;"Bom";28192
2020;188262;"Bom";25670
2013;19646;"Excelente";73651
2014;146489;"Bom";27483
2015;157966;"Ruim";25863
2017;91868;"Bom";49507
2015;73492;"Ruim";30733
2005;183900;"Regular";22252
2012;190486;"Ruim";18143
2011;107033;"Bom";32494
2005;207749;"Excelente";24077
2013;222180;"Excelente";20327
2024;13524;"Bom";59959
2020;21732;"Regular";46559
2010;179804;"Excelente";29603
2024;58467;"Excelente";38087
2014;209495;"Excelente";23193
2022;59453;"Regular";51685
2020;65784;"Bom";45725
2015;23782;"Regular";32267
2012;48386;"Bom";32085
2011;110562;"Regular";36783
2007;11477;"Bom";60725
2019;115945;"Regular";37588
2010;208929;"Regular";13302
2007;66216;"Excelente";37309
2006;245444;"Bom";10465
2010;167833;"Regular";15681
2021;116145;"Bom";49333
2023;242395;"Excelente";18573
2006;217118;"Ruim";11434
2008;167129;"Bom";19601
2014;223106;"Ruim";13421
2011;158735;"Regular";23686
2024;137384;"Bom";20669
2019;241790;"Regular";13752
2011;131425;"Excelente";28996
2009;125833;"Excelente";21787
2013;245081;"Regular";17837
2015;156719;"Bom";26407
2014;85200;"Ruim";24357
2023;166890;"Excelente";30098
2020;34077;"Bom";52554
2006;10850;"Regular";43986
2008;223608;"Bom";13201
2015;222435;"Ruim";11790
2012;72336;"Ruim";31147
2006;191208;"Bom";18218
2007;22153;"Bom";30392
2006;183788;"Bom";25720
2005;95251;"Bom";16817
2021;13970;"Excelente";66742
2022;53971;"Ruim";32181
2011;151245;"Regular";21991
2009;44213;"Bom";41512
2013;29812;"Bom";51424
2017;247164;"Excelente";17740
2007;168398;"Bom";18340
2019;128496;"Excelente";35923
2022;51455;"Bom";52869
2015;179354;"Bom";18016
2007;90937;"Excelente";25849
2017;9282;"Bom";47903
2005;25502;"Excelente";49363
2010;137575;"Bom";26523
2024;85495;"Regular";36648
2015;13800;"Regular";28880
2016;20921;"Bom";35936
2021;172108;"Regular";27382
2013;54762;"Bom";25028
2020;192617;"Bom";25486
2013;93666;"Regular";22565
2011;87011;"Bom";35378
2012;95086;"Ruim";23671
2010;77449;"Ruim";18524
2014;176972;"Regular";11090
2023;227270;"Regular";21211
2017;59404;"Bom";44922
2020;38702;"Bom";38757
2024;182538;"Bom";28871
2005;157264;"Bom";22953
2024;152587;"Bom";23656
2013;173732;"Bom";18569
2023;106301;"Bom";31488
2009;193664;"Bom";19923
2017;224127;"Bom";10000
2006;116000;"Excelente";29205
2020;225280;"Bom";21712
2024;142941;"Regular";28077
2007;92452;"Bom";23259
2024;45369;"Excelente";55860
2020;193888;"Ruim";16746
2014;207497;"Bom";21307
2017;85370;"Bom";30743
2016;73041;"Bom";41550
2016;178041;"Bom";29049
2014;42419;"Excelente";42137
2012;113295;"Regular";22323
2018;92408;"Ruim";25488
2008;136149;"Excelente";27389
2018;59974;"Excelente";52525
2018;73572;"Bom";32669
2010;215646;"Excelente";18287
2006;32611;"Bom";36361
2006;68575;"Regular";31494
2008;168005;"Excelente";26714
2010;247825;"Bom";10000
2011;79047;"Bom";37577
2016;111271;"Bom";23694
2014;44328;"Excelente";37883
2005;206642;"Excelente";15939
2007;55982;"Bom";30709
2007;74817;"Ruim";27046
2009;138821;"Excelente";27134
2012;149316;"Excelente";14128
2007;113352;"Regular";21365
2014;218439;"Bom";16835
2008;33454;"Regular";33369
2016;229489;"Bom";15524
2007;30962;"Excelente";28411
2009;104949;"Excelente";34824
2012;199845;"Bom";26196
2021;18408;"Excelente";83066
2015;199603;"Regular";16748
2013;98764;"Excelente";29621
2013;103285;"Ruim";24470
2013;100898;"Excelente";34957
2016;9781;"Bom";43759
2017;124536;"Bom";36984
2007;53504;"Ruim";25092
2006;216190;"Regular";18818
2005;145671;"Bom";22403
2013;43550;"Bom";53959
2009;210679;"Regular";10000
2024;17564;"Regular";42579
2022;206344;"Bom";19971
2021;196198;"Bom";19664
2018;176844;"Bom";20859
2013;124743;"Bom";36481
2013;23686;"Regular";30891
2016;161598;"Bom";22635
2005;189349;"Bom";14100
2018;27603;"Regular";24106
2011;224583;"Excelente";14516
2015;63935;"Regular";33113
2018;124701;"Bom";34563
2014;106148;"Bom";39692
2018;11252;"Bom";40547
2009;245550;"Bom";10000
2020;73104;"Regular";27100
2013;239766;"Bom";10000
2009;139696;"Excelente";27937
2024;131000;"Bom";37485
2011;44656;"Excelente";45272
2024;214854;"Ruim";13224
2010;246575;"Bom";10000
2022;74847;"Excelente";56110
2015;105721;"Excelente";36141
2009;91466;"Excelente";23519
2023;37164;"Ruim";28374
2010;118794;"Excelente";39161
2017;50800;"Excelente";49182
2011;24159;"Bom";38949
2006;12366;"Excelente";47024
2012;126785;"Bom";26181
2017;158493;"Excelente";29316
2015;150059;"Bom";29206
2022;148569;"Bom";33046
2013;37241;"Bom";34222
2020;170790;"Excelente";28721
2014;22335;"Bom";42792
2022;98588;"Regular";28286
2022;249706;"Regular";12512
2012;16387;"Ruim";27251
2023;82627;"Excelente";43925
2018;17838;"Bom";45238
2017;170159;"Bom";33767
2023;40315;"Excelente";56006
2006;79097;"Regular";29522
2013;22312;"Ruim";30711
2014;235143;"Regular";10489
2015;248884;"Excelente";11746
2005;91600;"Ruim";14629
2013;171401;"Regular";25398
2018;171312;"Excelente";38116
2020;234428;"Excelente";10541
2018;194423;"Excelente";24517
2023;41824;"Ruim";22290
2019;77464;"Excelente";37602
2012;90918;"Bom";39569
2012;69454;"Bom";30671
2020;48817;"Excelente";43735
2017;214880;"Excelente";21505
2008;150307;"Bom";33082
2022;227223;"Regular";17243
2006;227855;"Excelente";20426
2012;148669;"Regular";25987
2014;180431;"Excelente";20134
2005;30546;"Bom";45254
2017;113102;"Bom";29458
2015;199870;"Regular";14746
2007;25045;"Regular";28236
2005;60732;"Excelente";34824
2014;96706;"Excelente";36659
2017;111536;"Bom";28585
2013;175179;"Excelente";27497
2017;228836;"Bom";22637
2005;72621;"Bom";25409
2006;17275;"Regular";33270
2022;118096;"Excelente";42916
2011;194132;"Bom";20824
2007;129356;"Bom";33335
2022;155738;"Excelente";25269
2011;187001;"Excelente";28680
2024;153591;"Ruim";20551
2023;144936;"Bom";31620
2015;152841;"Bom";28676
2009;82847;"Excelente";42568
2020;98394;"Ruim";30469
2007;24040;"Ruim";22381
2015;142346;"Excelente";35508
2006;225496;"Excelente";16603
2013;95116;"Bom";43754
2014;173259;"Regular";24089
2022;151489;"Bom";40508
2010;242922;"Bom";10000
2024;70806;"Bom";35088
2017;156181;"Excelente";28974
2013;157725;"Regular";23613
2010;38811;"Bom";35291
2012;232803;"Regular";11673
2017;224473;"Bom";12222
2010;47343;"Regular";28091
2019;110198;"Excelente";31389
2007;82815;"Ruim";26476
2012;65377;"Regular";27282
2024;75223;"Ruim";27735
2007;126712;"Excelente";28201
2011;220302;"Bom";17075
2010;27413;"Excelente";63740
2014;95531;"Bom";37476
2012;166576;"Excelente";15130
2005;210251;"Bom";10000
2008;72030;"Regular";26408
2005;122147;"Bom";24302
2020;47788;"Ruim";29221
2009;68801;"Excelente";42646
2018;126886;"Excelente";24212
2024;200433;"Ruim";15238
2011;157590;"Regular";18766
2009;68481;"Regular";20096
2013;216039;"Excelente";33001
2013;82599;"Bom";36486
2012;159853;"Bom";26885
2014;82829;"Bom";25124
2009;99885;"Excelente";44037
2007;208462;"Bom";19771
2021;182730;"Bom";27343
2017;245752;"Bom";10249
2018;198731;"Ruim";12867
2005;26800;"Ruim";30932
2014;179657;"Excelente";26496
2019;52551;"Regular";41912
2021;139531;"Bom";24839
2009;41735;"Regular";35435
2020;158163;"Regular";22287
2014;29645;"Excelente";46342
2024;85285;"Bom";46004
2015;145318;"Regular";31805
2010;47438;"Excelente";42735
2006;141912;"Ruim";14401
2007;141626;"Regular";23335
2020;91855;"Excelente";40783
2014;61603;"Excelente";39895
2015;79929;"Regular";35222
2011;188449;"Bom";15228
2023;185217;"Excelente";23299
2014;166375;"Bom";24696
2007;10056;"Regular";28937
2015;182869;"Bom";31367
2022;226616;"Bom";24429
2022;181915;"Regular";12029
2015;138111;"Bom";24383
2021;72426;"Ruim";27228
2021;201822;"Bom";17584
2023;157313;"Regular";24914
2024;119614;"Regular";29406
2018;92862;"Regular";25585
2006;130106;"Excelente";38363
2023;91976;"Excelente";46568
2018;99884;"Bom";32019
2005;227045;"Ruim";10067
2010;75481;"Regular";16376
2011;186822;"Bom";29217
2023;211587;"Ruim";14096
2005;101671;"Regular";17616
2012;135863;"Bom";32928
2020;110362;"Bom";44105
2012;32335;"Regular";33843
2011;162756;"Ruim";22410
2023;166679;"Regular";18684
2009;176292;"Bom";26129
2008;50431;"Ruim";19679
2007;90086;"Bom";25580
2011;8776;"Bom";57253
2008;62648;"Regular";23670
2013;115821;"Ruim";13718
2011;122085;"Ruim";17524
2014;117782;"Excelente";37657
2023;158662;"Bom";33064
2007;170521;"Excelente";26029
2016;40998;"Regular";25421
2021;229090;"Bom";22888
2014;198650;"Regular";14764
2021;205641;"Excelente";24043
2012;132062;"Bom";23192
2019;59232;"Bom";39997
2005;80062;"Excelente";32926
2013;179979;"Regular";21127
2015;39901;"Regular";33085
2023;134947;"Bom";35922
2008;173193;"Bom";16858
2011;174392;"Bom";21905
2019;249726;"Bom";10000
2005;90315;"Regular";32775
2006;218189;"Excelente";12744
2009;66353;"Regular";27365
2010;61686;"Excelente";27513
2017;212718;"Bom";16721
2014;214276;"Excelente";25179
2006;138314;"Excelente";35538
2014;177940;"Bom";16962
2005;188829;"Excelente";16618
2022;41262;"Bom";65463
2005;68819;"Excelente";23766
2012;94493;"Bom";34149
2021;5691;"Bom";45865
2009;245461;"Excelente";10000
2011;83348;"Bom";44570
2017;214614;"Excelente";26320
2011;141480;"Ruim";15944
2022;59494;"Bom";30986
2006;244551;"Ruim";15821
2015;195855;"Bom";28255
2023;124471;"Bom";36732
2021;114745;"Bom";30995
2014;7775;"Regular";31961
2012;225980;"Ruim";10264
2009;82216;"Bom";22415
2017;77757;"Regular";37387
2020;44538;"Bom";49082
2019;211900;"Regular";16429
2022;174692;"Excelente";41144
2017;59307;"Bom";27879
2012;102816;"Bom";24783
2018;204520;"Regular";24029
2011;186213;"Excelente";27337
2020;128380;"Bom";26091
2011;205017;"Bom";14772
2015;133892;"Excelente";33919
2017;48359;"Excelente";63707
2015;187051;"Excelente";26893
2018;214403;"Excelente";30470
2014;152805;"Ruim";20713
2016;62627;"Ruim";30332
2018;23028;"Ruim";32668
2005;109715;"Regular";15523
2013;74250;"Bom";48046
2019;93122;"Bom";40060
2011;67479;"Ruim";16893
2021;9345;"Ruim";36817
2005;164677;"Regular";19744
2021;93291;"Regular";40373
2013;179597;"Regular";19670
2017;9681;"Excelente";63698
2016;93715;"Bom";50832
2020;21458;"Bom";41076
2012;45573;"Regular";36075
2015;146954;"Excelente";26119
2012;247362;"Bom";14125
2007;159634;"Excelente";36188
2006;162274;"Bom";28989
2024;189387;"Excelente";24366
2009;33007;"Regular";42828
2012;67165;"Bom";40706
2016;25530;"Regular";49606
2013;174178;"Bom";23414
2009;22405;"Excelente";39740
2018;219225;"Excelente";19371
2023;88180;"Regular";38296
2022;84153;"Bom";47483
2023;129064;"Excelente";33312
2024;179951;"Regular";23786
2019;213009;"Excelente";17736
2013;16660;"Bom";27653
2018;152135;"Ruim";21973
2013;90955;"Bom";32303
2016;21300;"Excelente";55530
2020;126672;"Bom";34966
2007;211007;"Regular";13857
2014;175287;"Ruim";10620
2008;127690;"Regular";22937
2012;48038;"Ruim";25429
2012;64208;"Bom";32118
2011;102612;"Excelente";23314
2020;126551;"Excelente";40514
2007;138990;"Bom";38571
2014;139122;"Excelente";37507
2005;205168;"Regular";15609
2019;109854;"Excelente";36097
2022;197761;"Bom";23096
2013;45632;"Bom";37354
2007;111478;"Excelente";19345
2009;82010;"Bom";24209
2005;155629;"Bom";20912
2014;95048;"Ruim";27384
2010;155304;"Regular";17902
2007;51842;"Regular";25460
2021;58135;"Regular";36087
2017;245238;"Bom";11993
2020;247890;"Bom";11560
2015;9662;"Bom";41579
2005;147801;"Bom";25226
2021;51555;"Bom";46970
2020;172758;"Bom";29365
2016;28792;"Bom";51057
2022;27425;"Ruim";27959
2015;124289;"Bom";33044
2022;104624;"Bom";34440
2005;51947;"Excelente";31835
2017;110145;"Regular";20208
2008;201732;"Regular";16481
2015;198589;"Excelente";29513
2007;168818;"Excelente";20967
2023;173628;"Excelente";25646
2013;180143;"Bom";19895
2022;107603;"Bom";30045
2013;107387;"Regular";16268
2006;172861;"Bom";18010
2005;60101;"Bom";38997
2009;163791;"Regular";21648
2020;25509;"Bom";40889
2008;213640;"Bom";10000
2010;86482;"Ruim";25997
2018;218604;"Excelente";15407
2010;85715;"Bom";38927
2016;174863;"Bom";26282
2007;78488;"Bom";47044
2007;35586;"Bom";34373
2009;150806;"Regular";28150
2023;97734;"Regular";32124
2007;168326;"Ruim";23020
2017;92471;"Regular";32376
2008;24798;"Excelente";46804
2022;234602;"Excelente";10868
2010;217422;"Regular";20205
2021;106976;"Excelente";41110
2005;69766;"Regular";37633
2018;68102;"Bom";43089
2005;202693;"Regular";10000
2021;244102;"Excelente";19651
2018;11351;"Excelente";57416
2014;235721;"Excelente";23207
2012;158513;"Regular";16017
2006;116402;"Regular";25766
2009;81154;"Ruim";24935
2009;175329;"Ruim";12385
2018;37289;"Excelente";52254
2024;36116;"Excelente";56754
2009;7037;"Ruim";22927
2008;181583;"Excelente";20851
2006;118740;"Bom";19942
2013;75222;"Regular";24855
2013;23025;"Bom";50546
2013;113444;"Bom";28854
2006;150175;"Ruim";12803
2007;54289;"Excelente";45691
2009;35776;"Bom";52734
2014;9080;"Bom";62025
2009;33144;"Excelente";37365
2012;24820;"Ruim";28873
2018;149675;"Excelente";26339
2015;201048;"Regular";21133
2017;94043;"Excelente";41403
2007;26703;"Regular";42948
2015;68189;"Excelente";49143
2013;72336;"Bom";34096
2020;107858;"Ruim";18435
2019;46547;"Excelente";50687
2005;104664;"Bom";31508
2005;113385;"Regular";24082
2017;200447;"Bom";20937
2007;182277;"Ruim";16211
2006;227483;"Bom";17130
2012;94965;"Bom";39250
2019;61483;"Regular";31945
2014;46320;"Regular";25686
2007;119286;"Ruim";10237
2008;182306;"Bom";25396
2005;117850;"Excelente";25636
2018;138645;"Excelente";35757
2018;103959;"Bom";40681
2019;231433;"Bom";12747
2023;47238;"Bom";39390
2006;118953;"Regular";29344
2014;225840;"Regular";19117
2009;211595;"Bom";14246
2023;82001;"Bom";55872
2020;91085;"Regular";29261
2009;21869;"Bom";41680
2008;207157;"Excelente";17548
2016;155002;"Regular";20060
2012;137669;"Regular";26997
2006;92709;"Bom";23589
2014;77612;"Regular";22115
2021;116602;"Regular";29922
2009;134412;"Excelente";28967
2014;137347;"Bom";28714
2016;150752;"Ruim";18393
2013;62257;"Ruim";23711
2006;238841;"Excelente";10000
2024;226778;"Regular";14832
2024;212544;"Excelente";18793
2021;79701;"Excelente";61165
2022;87648;"Bom";42600
2009;26982;"Bom";35550
2021;123886;"Bom";23116
2005;146031;"Regular";20795
2009;195575;"Excelente";22957
2011;182855;"Bom";29449
2010;21342;"Ruim";23766
2016;140131;"Excelente";38341
2018;148259;"Excelente";38427
2007;133065;"Bom";24997
2021;151185;"Excelente";26589
2017;60855;"Excelente";53379
2018;220695;"Excelente";22377
2022;61799;"Ruim";22089
2013;185501;"Bom";18372
2017;86514;"Regular";28941
2013;196227;"Bom";24624
2019;55195;"Bom";29523
2011;166003;"Bom";22912
2009;109361;"Ruim";15087
2021;203854;"Excelente";24200
2011;188339;"Ruim";16369
2023;248542;"Excelente";19326
2009;75739;"Regular";27308
2015;140086;"Ruim";22390
2015;244784;"Ruim";10000
2010;207727;"Regular";16839
2005;161947;"Regular";11155
2015;219549;"Excelente";15379
2021;221108;"Bom";19138
2015;30599;"Bom";44737
2015;77804;"Ruim";28971
2023;120157;"Bom";28513
2024;211422;"Excelente";23659
2024;91423;"Regular";38241
2011;13680;"Excelente";39110
2014;56243;"Regular";38313
2005;74613;"Excelente";46428
2013;57587;"Ruim";17109
2012;30202;"Bom";46788
2019;69870;"Regular";31485
2013;9033;"Bom";42174
2016;69135;"Bom";36255
2018;100200;"Bom";27650
2009;206186;"Excelente";25907
2012;94157;"Bom";32791
2014;189183;"Excelente";33833
2009;78348;"Regular";30056
2011;120083;"Bom";22886
2021;44328;"Bom";58589
2015;128830;"Regular";22139
2010;66742;"Excelente";62383
2008;242422;"Regular";10000
2007;182340;"Excelente";31794
2006;27301;"Ruim";26489
2021;32586;"Regular";34305
2010;145239;"Excelente";36366
2012;14754;"Excelente";50819
2006;186927;"Ruim";11146
2021;154234;"Bom";40921
2007;152597;"Bom";27350
2017;164563;"Bom";22202
2021;85437;"Excelente";54567
2007;238825;"Bom";10000
2008;170754;"Regular";10464
2022;226331;"Bom";14136
2008;108943;"Bom";28532
2012;63759;"Bom";38371
2013;71321;"Excelente";30440
2022;31820;"Bom";38457
2018;126563;"Bom";38337
2008;83054;"Regular";27597
2017;145140;"Excelente";39703
2015;178732;"Ruim";18534
2023;130139;"Excelente";40402
2006;182153;"Bom";20722
2015;220952;"Regular";12972
2011;175563;"Bom";26341
2010;206567;"Bom";18924
2022;191497;"Regular";16302
2023;200958;"Excelente";26883
2010;32810;"Excelente";62357
2009;67179;"Regular";18270
2006;72160;"Ruim";15330
2013;204689;"Excelente";26586
2015;33648;"Bom";43311
2022;132669;"Excelente";45192
2023;160748;"Bom";30186
2005;201287;"Regular";16210
2020;218939;"Bom";17980
2010;161491;"Regular";25970
2013;56963;"Excelente";32800
2007;85524;"Bom";35401
2015;153729;"Regular";17075
2010;146617;"Bom";28227
2009;178582;"Excelente";18898
2005;76346;"Ruim";19407
2007;46311;"Bom";35832
2018;96720;"Regular";24918
2005;10209;"Excelente";40441
2016;239068;"Regular";10000
2021;12405;"Bom";48101
2009;230581;"Excelente";24130
2021;12262;"Bom";37057
2010;87778;"Bom";28726
2016;41286;"Excelente";54578
2013;81633;"Regular";33701
2020;228838;"Bom";11199
2019;222236;"Excelente";21733
2010;171533;"Bom";26282
2010;126326;"Bom";32620
2024;95161;"Bom";26877
2018;159740;"Bom";25314
2008;98422;"Excelente";28981
2019;121382;"Ruim";16427
2014;82129;"Bom";45401
2018;220825;"Bom";15095
2018;122558;"Excelente";35987
2017;155578;"Excelente";30924
2006;134553;"Bom";31041
2015;104475;"Excelente";43132
2018;124935;"Regular";29317
2024;202519;"Regular";14020
2006;59002;"Bom";30719
2014;207735;"Bom";19599
2019;35746;"Excelente";51947
2012;174566;"Bom";30462
2005;32095;"Regular";42471
2013;234162;"Ruim";10000
2005;155565;"Bom";32395
2019;88686;"Excelente";33543
2007;82642;"Ruim";25497
2016;108570;"Bom";24838
2014;126086;"Bom";19992
2024;85884;"Ruim";24050
2021;232897;"Bom";12150
2022;205627;"Bom";28521
2006;150445;"Excelente";26975
2012;124075;"Regular";25508
2023;39361;"Bom";56053
2011;104341;"Excelente";42859
2006;237616;"Excelente";15801
2005;5350;"Bom";38494
2018;196256;"Bom";22602
2008;140237;"Excelente";28442
2022;50391;"Excelente";57756
2018;112204;"Regular";27616
2021;75628;"Bom";50896
2021;249293;"Regular";11141
2008;117271;"Bom";17376
2012;36840;"Bom";27110
2011;214584;"Bom";17157
2017;199487;"Excelente";23011
2021;23213;"Regular";55770
2014;180384;"Regular";17421
2012;241506;"Excelente";15653
2005;125231;"Bom";19640
2022;54463;"Regular";51947
2011;166459;"Regular";18581
2015;92832;"Excelente";39015
2016;203342;"Bom";17889
2019;205365;"Bom";14076
2015;107507;"Bom";37238
2022;53135;"Ruim";28329
2008;70442;"Ruim";28112
2020;124128;"Excelente";24504
2019;70941;"Bom";38713
2011;57867;"Bom";31069
2024;8512;"Regular";40319
2020;160810;"Regular";21493
2007;104749;"Bom";22857
2024;220893;"Regular";20087
2024;126167;"Bom";34322
2009;121370;"Bom";28385
2016;228482;"Excelente";21611
2005;123541;"Bom";30512
2008;176961;"Excelente";28878
2016;157317;"Bom";28634
2010;202939;"Excelente";14139
2015;190936;"Excelente";28195
2007;36095;"Excelente";66026
2017;140995;"Excelente";31918
2021;175082;"Ruim";13873
2022;184476;"Bom";33606
2018;55883;"Ruim";26465
2012;63801;"Bom";43601
2005;154080;"Bom";13446
2007;121856;"Bom";29801
2021;238433;"Regular";12980
2018;193914;"Ruim";19099
2021;28146;"Regular";45649
2017;199469;"Bom";20346
2024;125809;"Bom";24596
2023;142387;"Bom";28303
2012;120070;"Bom";37631
2011;163648;"Excelente";22568
2005;184227;"Bom";19215
2006;186317;"Excelente";13962
2005;244882;"Excelente";10000
2020;182095;"Excelente";26688
2013;8384;"Regular";37311
2021;97035;"Bom";27493
2006;220188;"Bom";10000
2012;225082;"Excelente";12656
2010;63625;"Bom";25716
2018;59796;"Regular";46271
2008;135936;"Bom";25476
2011;63841;"Bom";22961
2024;215930;"Excelente";19342
2020;217674;"Excelente";15720
2023;234548;"Excelente";16838
2006;159625;"Bom";31353
2020;232604;"Excelente";10000
2017;134156;"Excelente";26334
2010;240549;"Bom";10000
2021;94389;"Excelente";52487
2014;9571;"Bom";51505
2007;205345;"Bom";19869
2019;76149;"Excelente";33043
2012;146545;"Bom";32490
2016;97226;"Excelente";35617
2021;63299;"Regular";27873
2009;180694;"Bom";24045
2016;19327;"Excelente";52329
2007;48653;"Bom";54536
2022;240883;"Regular";13583
2009;84437;"Bom";33667
2009;53653;"Ruim";17317
2013;124824;"Ruim";13045
2020;6450;"Bom";44322
2014;13336;"Regular";36932
2015;9637;"Regular";30322
2021;164137;"Bom";26028
2007;236225;"Bom";10000
2020;122396;"Excelente";37125
2017;140644;"Bom";32559
2013;210624;"Excelente";18003
2007;210431;"Bom";12468
2008;41096;"Regular";36289
2023;7996;"Excelente";53832
2013;119926;"Excelente";28173
2008;81500;"Excelente";38145
2005;218255;"Excelente";19912
2018;37261;"Ruim";30070
2014;13046;"Excelente";46743
2023;168357;"Regular";17224
2005;194651;"Ruim";10070
2014;54839;"Excelente";47479
2022;119378;"Bom";37622
2007;209218;"Bom";16893
2012;28399;"Regular";22080
2007;44955;"Bom";34309
2021;61528;"Regular";34398
